收寄城市,寄达城市,流量_集包,流量_大件,总流量
南京,常州,198,2483,2681
南京,淮安,43,466,509
无锡,连云港,39,271,310
苏州,徐州,158,1142,1300
连云港,苏州,86,593,679
徐州,盐城,64,1039,1103
常州,南通,83,765,848
南通,苏州,134,3043,3177
南通,盐城,40,768,808
杭州,温州,542,1186,1728
嘉兴,宁波,184,521,705
台州,宁波,274,950,1224
长沙,长沙,491,8231,8722
武汉,襄阳,95,1718,1813
汕头,中山,73,594,667
石家庄,西安,338,4000,4338
石家庄,太原,226,2659,2885
石家庄,南京,106,1260,1366
石家庄,阿克苏,27,289,316
天津,信阳,24,731,755
廊坊,侯马,23,175,198
廊坊,南昌,26,234,260
廊坊,厦门,18,154,172
廊坊,郑州,44,392,436
廊坊,南充,13,117,130
保定,合肥,46,385,431
保定,济南,193,1647,1840
保定,信阳,77,606,683
保定,常州,25,174,199
保定,襄阳,18,129,147
北京,西安,78,1728,1806
沈阳,合肥,54,387,441
沈阳,蚌埠,36,245,281
长春,信阳,12,200,212
长春,贵阳,20,381,401
哈尔滨,长春,80,2789,2869
南京,哈尔滨,152,1812,1964
南京,锦州,38,422,460
南京,洛阳,63,692,755
南京,汕头,75,838,913
扬州,郑州,80,858,938
扬州,漯河,34,342,376
常州,厦门,112,1112,1224
无锡,福州,75,551,626
无锡,银川,34,245,279
无锡,石家庄,87,671,758
无锡,金华,49,372,421
无锡,长沙,91,685,776
无锡,汕头,36,268,304
无锡,南宁,53,408,461
无锡,海口,35,265,300
无锡,成都,140,1052,1192
苏州,广州,292,2333,2625
苏州,济南,197,1546,1743
苏州,青岛,100,814,914
徐州,北京,244,4978,5222
徐州,湛江,68,1134,1202
徐州,贵阳,215,3675,3890
徐州,海口,112,2105,2217
连云港,南昌,51,335,386
连云港,银川,23,154,177
连云港,昆明,35,243,278
淮安,石家庄,22,185,207
淮安,漯河,12,109,121
淮安,金华,20,201,221
徐州,侯马,80,1388,1468
徐州,芜湖,66,1118,1184
盐城,合肥,55,311,366
盐城,厦门,36,184,220
盐城,郑州,109,587,696
扬州,北京,50,542,592
扬州,洛阳,25,259,284
扬州,汕头,26,258,284
扬州,南充,24,228,252
常州,哈尔滨,200,2018,2218
常州,芜湖,55,516,571
常州,襄阳,44,406,450
常州,南充,69,637,706
常州,兰州,91,888,979
南通,太原,36,781,817
南通,青岛,50,1085,1135
南通,宁波,56,1292,1348
南通,武汉,92,2065,2157
南通,南宁,52,1172,1224
南通,西安,80,1777,1857
合肥,北京,261,2750,3011
合肥,芜湖,120,1205,1325
合肥,福州,226,2412,2638
安庆,侯马,63,565,628
安庆,宁波,78,808,886
安庆,南昌,128,1233,1361
安庆,汕头,87,861,948
安庆,南宁,138,1378,1516
安庆,兰州,72,686,758
蚌埠,沈阳,219,2340,2559
蚌埠,漯河,96,979,1075
蚌埠,西安,245,2553,2798
济南,郑州,298,3472,3770
济南,乌鲁木齐,91,1071,1162
潍坊,郑州,35,511,546
临沂,信阳,25,260,285
杭州,天津,434,1029,1463
杭州,衡阳,176,404,580
杭州,广州,1133,2680,3813
杭州,南宁,429,1023,1452
杭州,柳州,165,374,539
杭州,银川,163,382,545
湖州,石家庄,182,489,671
湖州,常州,64,172,236
湖州,济南,275,731,1006
湖州,青岛,94,250,344
嘉兴,石家庄,109,330,439
嘉兴,沈阳,147,441,588
嘉兴,汕头,74,217,291
嘉兴,成都,194,571,765
嘉兴,海口,47,145,192
嘉兴,兰州,79,236,315
嘉兴,大理州,26,77,103
宁波,石家庄,175,1419,1594
宁波,南昌,185,1441,1626
宁波,福州,190,1510,1700
宁波,襄阳,46,353,399
宁波,昆明,146,1169,1315
宁波,大理州,34,263,297
台州,锦州,52,179,231
台州,徐州,198,717,915
台州,合肥,274,1006,1280
台州,信阳,180,647,827
台州,汕头,185,666,851
台州,成都,417,1478,1895
台州,银川,79,287,366
金华,长春,388,2860,3248
金华,洛阳,223,1656,1879
金华,广州,1166,8965,10131
金华,柳州,183,1326,1509
金华,西安,662,5023,5685
金华,兰州,252,1908,2160
金华,鹰潭,83,593,676
温州,侯马,85,324,409
温州,合肥,184,773,957
温州,洛阳,88,338,426
温州,广州,542,2237,2779
温州,柳州,78,302,380
南昌,天津,145,1738,1883
南昌,西安,232,2648,2880
鹰潭,郑州,32,308,340
福州,济南,121,1370,1491
福州,湛江,39,446,485
泉州,哈尔滨,47,1496,1543
泉州,呼和浩特,29,842,871
泉州,石家庄,45,1249,1294
泉州,南京,38,1139,1177
泉州,济南,76,2267,2343
泉州,武汉,71,2291,2362
泉州,信阳,30,771,801
泉州,南充,22,622,644
厦门,汕头,43,1336,1379
重庆,广州,121,4622,4743
重庆,呼和浩特,61,2236,2297
重庆,侯马,19,638,657
重庆,徐州,23,769,792
重庆,南昌,47,1647,1694
重庆,襄阳,12,439,451
重庆,昆明,95,3773,3868
重庆,西安,76,2841,2917
长沙,侯马,78,1108,1186
长沙,天津,168,2558,2726
长沙,长春,113,1798,1911
长沙,常州,77,1079,1156
长沙,青岛,117,1733,1850
长沙,襄阳,53,768,821
常德,杭州,19,349,368
衡阳,石家庄,32,814,846
武汉,呼和浩特,108,2189,2297
武汉,北京,270,6020,6290
武汉,杭州,162,3577,3739
荆州,常州,11,102,113
武汉,阿克苏,30,512,542
郑州,合肥,165,2955,3120
郑州,杭州,184,3413,3597
郑州,广州,520,9500,10020
郑州,西安,379,6948,7327
郑州,洛阳,133,2174,2307
洛阳,天津,105,1244,1349
洛阳,哈尔滨,128,1394,1522
洛阳,合肥,67,685,752
洛阳,南京,57,598,655
洛阳,芜湖,25,248,273
信阳,信阳,19,246,265
郑州,襄阳,58,1026,1084
汕头,锦州,12,82,94
汕头,济南,63,487,550
汕头,南充,29,221,250
汕头,昆明,57,419,476
湛江,武汉,23,597,620
湛江,湛江,6,135,141
中山,汕头,81,996,1077
成都,乌鲁木齐,44,1891,1935
成都,南宁,67,1513,1580
昆明,中山,25,496,521
石家庄,唐山,91,1017,1108
石家庄,泉州,68,793,861
石家庄,扬州,28,321,349
石家庄,包头,36,388,424
石家庄,宝鸡,25,280,305
天津,泉州,10,290,300
唐山,廊坊,9,95,104
唐山,沈阳,19,256,275
唐山,哈尔滨,16,199,215
唐山,郑州,14,170,184
唐山,信阳,6,75,81
唐山,呼和浩特,6,81,87
唐山,锦州,5,53,58
唐山,临沂,5,44,49
唐山,南昌,6,74,80
北京,长春,62,1348,1410
北京,武汉,57,1271,1328
北京,昆明,43,955,998
廊坊,呼和浩特,24,214,238
廊坊,大连,16,159,175
廊坊,嘉兴,8,68,76
廊坊,宝鸡,5,37,42
保定,上海,82,725,807
保定,重庆,56,489,545
保定,蚌埠,29,249,278
保定,安庆,15,121,136
保定,济宁,36,298,334
保定,台州,15,121,136
保定,义乌,7,49,56
北京,呼和浩特,30,652,682
北京,蚌埠,15,309,324
北京,芜湖,10,219,229
北京,南宁,33,765,798
北京,保定,17,379,396
北京,大连,17,391,408
沈阳,唐山,70,568,638
沈阳,杭州,77,593,670
沈阳,苏州,79,596,675
沈阳,淮安,12,76,88
沈阳,芜湖,21,137,158
沈阳,泉州,26,212,238
长春,廊坊,8,220,228
长春,常州,7,172,179
长春,蚌埠,7,167,174
长春,泉州,6,154,160
长春,重庆,11,292,303
长春,洛阳,7,156,163
哈尔滨,呼和浩特,22,681,703
哈尔滨,廊坊,15,389,404
哈尔滨,合肥,14,369,383
哈尔滨,杭州,27,869,896
哈尔滨,嘉兴,10,256,266
哈尔滨,厦门,15,369,384
哈尔滨,郑州,30,899,929
哈尔滨,信阳,12,300,312
哈尔滨,贵阳,15,460,475
哈尔滨,成都,33,1021,1054
哈尔滨,兰州,13,380,393
南京,泉州,61,770,831
南京,衡阳,55,664,719
南京,东莞,83,1024,1107
南京,银川,56,668,724
南京,西宁,18,208,226
南京,阿克苏,19,186,205
南京,深圳,132,1679,1811
扬州,赣州,14,133,147
扬州,海口,31,354,385
淮安,上海,92,1043,1135
淮安,温州,25,253,278
淮安,汕头,13,133,146
淮安,深圳,25,255,280
淮安,东莞,21,198,219
常州,泉州,80,820,900
常州,重庆,141,1467,1608
无锡,台州,34,266,300
无锡,泉州,29,227,256
苏州,鹰潭,19,146,165
苏州,重庆,105,886,991
苏州,常德,32,269,301
徐州,烟台,55,1002,1057
徐州,赣州,52,918,970
徐州,深圳,174,3504,3678
徐州,内江,15,237,252
连云港,保定,24,167,191
连云港,淮安,12,83,95
连云港,安庆,13,89,102
连云港,临沂,24,178,202
连云港,台州,16,117,133
连云港,荆州,7,43,50
连云港,内江,5,26,31
连云港,宝鸡,6,39,45
淮安,阿克苏,9,84,93
淮安,泉州,11,104,115
淮安,洛阳,10,87,97
淮安,常德,7,59,66
盐城,唐山,14,70,84
盐城,济宁,25,137,162
盐城,成都,72,419,491
扬州,包头,10,117,127
扬州,淮安,13,104,117
扬州,内江,5,42,47
扬州,大理州,14,136,150
常州,宝鸡,17,166,183
常州,西宁,11,104,115
合肥,大连,74,802,876
合肥,连云港,34,362,396
合肥,淮安,23,238,261
合肥,潍坊,81,890,971
合肥,湖州,36,370,406
合肥,温州,97,1046,1143
合肥,海口,61,646,707
安庆,临沂,37,371,408
安庆,荆州,15,143,158
蚌埠,无锡,54,541,595
蚌埠,嘉兴,42,413,455
蚌埠,重庆,118,1297,1415
蚌埠,洛阳,69,721,790
蚌埠,湖州,24,226,250
芜湖,上海,116,1601,1717
芜湖,南京,45,527,572
芜湖,徐州,35,387,422
芜湖,泉州,26,310,336
芜湖,长沙,84,1046,1130
芜湖,深圳,57,735,792
芜湖,保定,21,249,270
芜湖,银川,33,397,430
芜湖,无锡,19,236,255
济南,太原,209,2368,2577
济南,大连,87,996,1083
济南,长春,203,2299,2502
济南,上海,317,4072,4389
济南,苏州,137,1604,1741
济南,蚌埠,81,864,945
济南,杭州,159,1811,1970
济南,金华,64,693,757
济南,南昌,140,1495,1635
济南,重庆,161,1852,2013
济南,南通,48,538,586
潍坊,深圳,19,284,303
潍坊,成都,35,548,583
潍坊,保定,10,157,167
潍坊,长沙,25,365,390
潍坊,洛阳,12,161,173
潍坊,中山,16,206,222
潍坊,乌鲁木齐,14,217,231
潍坊,临沂,12,193,205
潍坊,泉州,8,124,132
青岛,杭州,33,483,516
青岛,广州,66,993,1059
青岛,贵阳,27,364,391
青岛,锦州,15,188,203
青岛,金华,14,196,210
济宁,上海,43,1004,1047
济宁,合肥,17,352,369
济宁,温州,10,206,216
济宁,南昌,22,410,432
济宁,衡阳,10,203,213
济宁,武汉,35,755,790
济宁,东莞,17,320,337
济宁,兰州,27,563,590
临沂,长春,31,377,408
临沂,徐州,20,210,230
临沂,福州,24,274,298
临沂,泉州,12,127,139
临沂,贵阳,40,449,489
临沂,兰州,29,316,345
济宁,大连,11,209,220
济宁,锦州,11,199,210
济宁,临沂,12,245,257
济宁,泉州,8,170,178
临沂,保定,13,162,175
临沂,安庆,8,88,96
临沂,常德,8,93,101
济宁,银川,8,160,168
杭州,包头,57,128,185
杭州,上海,1318,3155,4473
杭州,深圳,433,1059,1492
湖州,保定,65,177,242
湖州,潍坊,51,138,189
湖州,嘉兴,58,152,210
湖州,鹰潭,33,88,121
湖州,泉州,88,239,327
湖州,衡阳,71,193,264
湖州,东莞,117,322,439
嘉兴,盐城,42,128,170
嘉兴,赣州,36,112,148
宁波,无锡,74,613,687
宁波,东莞,123,1058,1181
宁波,西宁,16,113,129
金华,包头,56,425,481
金华,廊坊,91,677,768
金华,淮安,73,557,630
金华,扬州,110,845,955
金华,济宁,170,1309,1479
金华,深圳,420,3286,3706
金华,东莞,350,2750,3100
温州,无锡,93,402,495
温州,唐山,51,206,257
温州,保定,62,264,326
温州,淮安,29,112,141
南昌,保定,52,565,617
南昌,深圳,174,2541,2715
南昌,盐城,36,441,477
南昌,安庆,43,531,574
南昌,义乌,25,320,345
鹰潭,重庆,21,207,228
鹰潭,长沙,29,282,311
鹰潭,衡阳,11,91,102
鹰潭,苏州,15,129,144
鹰潭,湛江,8,68,76
福州,常州,37,480,517
福州,金华,42,504,546
福州,海口,43,623,666
福州,台州,31,429,460
福州,乌鲁木齐,28,529,557
福州,鹰潭,17,199,216
福州,襄阳,27,263,290
厦门,石家庄,34,984,1018
厦门,长春,23,697,720
厦门,重庆,30,999,1029
泉州,海口,50,1654,1704
泉州,大连,11,335,346
泉州,淮安,6,147,153
泉州,济宁,17,447,464
泉州,湖州,10,267,277
厦门,湛江,24,724,748
厦门,海口,22,742,764
重庆,烟台,13,475,488
重庆,扬州,8,302,310
重庆,赣州,12,490,502
重庆,荆州,6,227,233
长沙,南通,48,733,781
长沙,湖州,34,453,487
长沙,赣州,69,1135,1204
长沙,西宁,16,242,258
常德,包头,4,54,58
常德,南昌,14,245,259
常德,武汉,21,387,408
常德,东莞,14,248,262
常德,南宁,15,274,289
常德,兰州,6,94,100
衡阳,北京,44,1287,1331
衡阳,青岛,20,483,503
衡阳,天津,27,703,730
衡阳,徐州,13,367,380
衡阳,合肥,22,575,597
衡阳,南昌,33,915,948
衡阳,台州,9,241,250
武汉,济宁,41,857,898
荆州,上海,44,451,495
荆州,泉州,11,102,113
荆州,郑州,25,220,245
荆州,东莞,26,246,272
荆州,成都,37,378,415
荆州,嘉兴,8,76,84
武汉,西宁,21,404,425
襄阳,南昌,22,443,465
襄阳,福州,16,330,346
襄阳,泉州,8,158,166
襄阳,湛江,6,97,103
襄阳,柳州,10,171,181
襄阳,成都,29,625,654
郑州,廊坊,49,864,913
郑州,盐城,44,774,818
郑州,宝鸡,26,488,514
洛阳,无锡,35,368,403
洛阳,济宁,33,318,351
洛阳,泉州,35,412,447
洛阳,昆明,64,417,481
洛阳,包头,16,134,150
洛阳,鹰潭,16,162,178
洛阳,淮安,10,112,122
洛阳,湖州,15,179,194
漯河,武汉,48,1267,1315
漯河,唐山,14,323,337
漯河,济宁,16,381,397
漯河,杭州,36,902,938
漯河,宁波,21,536,557
漯河,温州,19,438,457
信阳,太原,43,579,622
信阳,长春,43,577,620
信阳,苏州,31,434,465
信阳,济南,70,965,1035
信阳,天津,47,696,743
信阳,贵阳,50,619,669
信阳,成都,70,966,1036
信阳,保定,18,249,267
信阳,常州,16,210,226
信阳,无锡,15,205,220
信阳,金华,18,226,244
信阳,温州,17,236,253
信阳,武汉,54,763,817
信阳,深圳,37,550,587
信阳,中山,29,369,398
洛阳,义乌,14,124,138
信阳,锦州,15,176,191
广州,上海,249,2569,2818
广州,常州,61,605,666
广州,蚌埠,59,575,634
广州,常德,64,652,716
广州,郑州,198,1950,2148
广州,西宁,57,510,567
广州,大连,52,516,568
广州,安庆,39,358,397
汕头,南京,19,149,168
汕头,无锡,12,83,95
汕头,苏州,24,184,208
汕头,烟台,12,86,98
汕头,临沂,17,111,128
汕头,衡阳,31,259,290
汕头,东莞,72,639,711
汕头,大理州,13,97,110
广州,鹰潭,30,310,340
湛江,呼和浩特,6,146,152
湛江,南昌,17,437,454
湛江,柳州,10,223,233
湛江,大连,5,97,102
湛江,无锡,6,137,143
湛江,芜湖,5,91,96
湛江,安庆,5,98,103
湛江,济宁,4,80,84
湛江,临沂,4,100,104
湛江,台州,5,123,128
中山,武汉,79,1040,1119
中山,昆明,53,675,728
中山,保定,20,226,246
中山,烟台,14,161,175
中山,金华,22,268,290
中山,衡阳,27,355,382
中山,南充,27,285,312
中山,银川,17,193,210
贵阳,北京,18,422,440
贵阳,杭州,17,391,408
贵阳,宁波,12,251,263
贵阳,南昌,12,266,278
贵阳,武汉,17,391,408
贵阳,郑州,13,314,327
海口,北京,10,132,142
海口,南京,4,53,57
海口,武汉,7,114,121
海口,东莞,5,62,67
成都,哈尔滨,88,2058,2146
成都,福州,54,1280,1334
成都,烟台,18,418,436
成都,襄阳,17,379,396
成都,信阳,35,787,822
成都,深圳,68,1944,2012
昆明,厦门,17,325,342
昆明,郑州,25,460,485
昆明,西安,28,558,586
昆明,临沂,6,104,110
昆明,温州,15,316,331
昆明,常德,7,141,148
西安,天津,64,2763,2827
西安,汕头,54,2205,2259
西安,深圳,116,4893,5009
西安,侯马,59,1605,1664
西安,漯河,29,980,1009
沈阳,安庆,16,111,127
合肥,阿克苏,15,140,155
信阳,湛江,13,174,187
呼和浩特,济南,14,422,436
呼和浩特,武汉,9,249,258
锦州,上海,4,87,91
锦州,济南,5,141,146
锦州,广州,5,123,128
太原,郑州,15,721,736
天津,淮安,4,113,117
天津,盐城,7,249,256
天津,安庆,7,224,231
天津,台州,7,211,218
天津,常德,5,173,178
天津,大理州,5,148,153
天津,阿克苏,4,150,154
沈阳,赣州,12,87,99
哈尔滨,湖州,6,147,153
哈尔滨,南充,7,170,177
合肥,内江,18,189,207
芜湖,荆州,8,97,105
芜湖,大理州,10,97,107
济南,连云港,29,336,365
济南,西宁,19,242,261
青岛,芜湖,9,116,125
青岛,南宁,10,130,140
厦门,连云港,8,223,231
厦门,烟台,8,253,261
厦门,济宁,9,258,267
厦门,银川,11,328,339
常德,厦门,8,119,127
洛阳,西宁,6,42,48
漯河,廊坊,9,216,225
漯河,安庆,10,227,237
漯河,襄阳,11,231,242
信阳,廊坊,10,127,137
信阳,临沂,14,199,213
信阳,湖州,7,91,98
信阳,荆州,5,57,62
漯河,淮安,5,104,109
信阳,拉萨,3,28,31
郑州,喀什,5,75,80
中山,西宁,8,88,96
中山,阿克苏,10,119,129
南宁,呼和浩特,5,465,470
南宁,苏州,13,1008,1021
南宁,宁波,10,780,790
南宁,金华,9,597,606
南宁,福州,20,1570,1590
南宁,厦门,13,972,985
南宁,重庆,24,1915,1939
柳州,南昌,4,158,162
柳州,成都,7,335,342
柳州,西安,4,160,164
南充,上海,16,265,281
南充,西安,20,467,487
南充,青岛,8,103,111
大理州,大连,4,96,100
大理州,南京,3,115,118
大理州,西安,5,199,204
西安,扬州,13,560,573
西安,蚌埠,20,755,775
西安,嘉兴,23,946,969
西安,常德,16,676,692
西安,宝鸡,30,820,850
西安,乌鲁木齐,100,2593,2693
烟台,济南,36,848,884
义乌,温州,391,3183,3574
西宁,西宁,50,1155,1205
乌鲁木齐,乌鲁木齐,44,1825,1869
太原,锦州,4,161,165
大连,天津,12,128,140
大连,漯河,4,40,44
上海,蚌埠,43,642,685
上海,合肥,93,1432,1525
上海,济南,177,2692,2869
上海,杭州,164,2555,2719
上海,武汉,192,2914,3106
烟台,哈尔滨,21,492,513
烟台,常州,6,141,147
烟台,贵阳,10,232,242
临沂,银川,8,86,94
义乌,蚌埠,340,2798,3138
赣州,汕头,5,382,387
赣州,南宁,9,666,675
常德,漯河,5,69,74
荆州,洛阳,8,71,79
深圳,呼和浩特,55,176,231
深圳,哈尔滨,108,338,446
深圳,太原,79,250,329
深圳,南京,110,356,466
深圳,郑州,138,440,578
深圳,南充,67,210,277
东莞,南昌,140,752,892
东莞,柳州,79,423,502
东莞,成都,246,1328,1574
东莞,昆明,126,675,801
南宁,襄阳,5,309,314
南充,合肥,7,100,107
银川,哈尔滨,8,92,100
呼和浩特,徐州,3,87,90
呼和浩特,潍坊,3,90,93
呼和浩特,烟台,4,103,107
呼和浩特,湖州,1,28,29
呼和浩特,温州,3,80,83
呼和浩特,衡阳,2,61,63
呼和浩特,南充,3,99,102
呼和浩特,兰州,4,132,136
呼和浩特,拉萨,1,14,15
包头,石家庄,1,20,21
包头,沈阳,2,36,38
包头,南京,1,9,10
包头,合肥,1,6,7
包头,济宁,1,3,4
包头,嘉兴,1,5,6
包头,汕头,1,5,6
包头,大理州,1,3,4
包头,银川,2,33,35
包头,乌鲁木齐,1,6,7
太原,南京,5,332,337
太原,徐州,4,195,199
太原,福州,6,357,363
太原,襄阳,3,127,130
太原,柳州,2,120,122
侯马,包头,1,47,48
侯马,廊坊,1,58,59
侯马,大连,1,81,82
侯马,青岛,2,196,198
侯马,杭州,3,227,230
侯马,厦门,2,117,119
侯马,泉州,1,100,101
唐山,淮安,1,13,14
唐山,嘉兴,3,31,34
唐山,鹰潭,1,11,12
唐山,常德,2,19,21
唐山,内江,1,5,6
北京,宝鸡,5,121,126
沈阳,喀什,3,17,20
大连,廊坊,2,19,21
大连,无锡,3,28,31
大连,泉州,5,51,56
大连,武汉,8,95,103
大连,中山,4,48,52
锦州,包头,2,38,40
锦州,扬州,1,9,10
锦州,合肥,2,33,35
锦州,安庆,1,10,11
锦州,潍坊,1,33,34
锦州,宁波,1,32,33
锦州,鹰潭,1,5,6
锦州,福州,2,32,34
锦州,重庆,2,35,37
锦州,荆州,1,5,6
锦州,南充,1,12,13
锦州,西宁,1,6,7
锦州,拉萨,1,4,5
长春,湖州,3,75,78
哈尔滨,常德,4,115,119
哈尔滨,西宁,2,80,82
哈尔滨,拉萨,1,39,40
上海,潍坊,44,678,722
无锡,深圳,76,607,683
连云港,阿克苏,2,10,12
潍坊,淮安,3,40,43
潍坊,荆州,3,39,42
潍坊,阿克苏,3,39,42
烟台,无锡,6,137,143
烟台,芜湖,3,77,80
烟台,赣州,3,61,64
烟台,荆州,2,33,35
烟台,南宁,4,105,109
烟台,喀什,1,3,4
青岛,荆州,3,44,47
济宁,安庆,6,123,129
济宁,昆明,8,171,179
临沂,鹰潭,4,46,50
临沂,大理州,3,27,30
义乌,连云港,128,1059,1187
义乌,扬州,125,1031,1156
义乌,烟台,200,1651,1851
义乌,西宁,15,124,139
义乌,乌鲁木齐,54,442,496
义乌,喀什,3,20,23
鹰潭,连云港,3,27,30
鹰潭,淮安,2,17,19
鹰潭,喀什,1,8,9
赣州,呼和浩特,5,411,416
赣州,包头,2,134,136
赣州,苏州,5,420,425
赣州,淮安,1,68,69
赣州,盐城,2,115,117
赣州,济宁,3,184,187
赣州,鹰潭,2,124,126
赣州,东莞,7,586,593
赣州,内江,1,51,52
赣州,兰州,4,311,315
赣州,喀什,1,15,16
泉州,内江,3,103,106
常德,太原,6,108,114
常德,侯马,3,52,55
常德,安庆,2,39,41
常德,襄阳,4,61,65
常德,洛阳,3,50,53
衡阳,连云港,4,116,120
衡阳,湖州,5,144,149
衡阳,阿克苏,3,78,81
武汉,喀什,7,126,133
荆州,包头,4,41,45
荆州,唐山,5,49,54
荆州,潍坊,6,59,65
荆州,鹰潭,4,37,41
襄阳,包头,3,42,45
襄阳,义乌,3,59,62
襄阳,鹰潭,3,68,71
襄阳,荆州,3,45,48
漯河,喀什,1,22,23
深圳,连云港,29,94,123
深圳,泉州,85,275,360
深圳,衡阳,86,278,364
深圳,宝鸡,10,32,42
东莞,苏州,96,521,617
东莞,台州,40,213,253
东莞,喀什,6,28,34
东莞,拉萨,17,88,105
湛江,盐城,3,72,75
湛江,荆州,2,47,49
湛江,乌鲁木齐,3,66,69
南宁,唐山,4,316,320
南宁,连云港,3,180,183
南宁,安庆,4,326,330
南宁,嘉兴,5,396,401
南宁,赣州,5,434,439
南宁,喀什,1,21,22
柳州,太原,2,79,81
柳州,济宁,1,25,26
贵阳,淮安,1,29,30
海口,锦州,1,12,13
海口,芜湖,2,18,20
海口,安庆,1,17,18
海口,烟台,2,17,19
海口,大理州,2,17,19
海口,银川,1,12,13
成都,宝鸡,7,176,183
成都,喀什,2,84,86
南充,锦州,2,42,44
南充,无锡,4,59,63
南充,淮安,2,15,17
南充,安庆,3,37,40
南充,荆州,2,22,24
内江,锦州,1,18,19
内江,长春,2,62,64
内江,芜湖,1,29,30
内江,安庆,1,30,31
内江,潍坊,1,34,35
内江,嘉兴,1,38,39
内江,台州,1,37,38
内江,温州,2,52,54
内江,衡阳,2,49,51
内江,深圳,4,140,144
内江,中山,3,93,96
内江,南宁,3,129,132
内江,乌鲁木齐,1,18,19
昆明,安庆,5,104,109
大理州,济宁,1,29,30
大理州,荆州,1,17,18
大理州,信阳,2,48,50
大理州,洛阳,2,45,47
大理州,中山,3,117,120
宝鸡,保定,1,87,88
宝鸡,上海,4,814,818
宝鸡,蚌埠,1,98,99
宝鸡,嘉兴,1,100,101
宝鸡,温州,1,175,176
宝鸡,鹰潭,1,47,48
宝鸡,武汉,3,559,562
宝鸡,深圳,3,675,678
兰州,石家庄,4,119,123
兰州,大连,2,71,73
兰州,哈尔滨,6,158,164
兰州,上海,11,387,398
兰州,南京,5,169,174
兰州,合肥,3,88,91
兰州,芜湖,1,34,35
兰州,临沂,2,38,40
兰州,金华,2,66,68
兰州,赣州,2,32,34
兰州,湛江,2,53,55
兰州,贵阳,4,101,105
兰州,大理州,1,27,28
银川,大连,2,21,23
银川,常州,2,22,24
银川,扬州,1,11,12
银川,鹰潭,1,6,7
银川,汕头,3,30,33
西宁,锦州,1,12,13
西宁,扬州,1,8,9
西宁,青岛,1,43,44
西宁,金华,1,19,20
西宁,鹰潭,1,6,7
西宁,常德,1,12,13
西宁,中山,1,20,21
西宁,海口,1,15,16
西宁,成都,5,185,190
西宁,内江,1,5,6
西宁,银川,2,41,43
乌鲁木齐,太原,2,93,95
乌鲁木齐,石家庄,2,122,124
乌鲁木齐,南通,1,55,56
乌鲁木齐,济南,4,216,220
乌鲁木齐,济宁,1,34,35
乌鲁木齐,常德,1,34,35
乌鲁木齐,内江,1,23,24
乌鲁木齐,西宁,1,57,58
阿克苏,包头,1,2,3
阿克苏,侯马,1,10,11
阿克苏,沈阳,1,26,27
阿克苏,扬州,1,4,5
阿克苏,济宁,1,5,6
阿克苏,宁波,1,12,13
阿克苏,福州,1,14,15
阿克苏,中山,1,12,13
阿克苏,贵阳,1,17,18
阿克苏,海口,1,6,7
阿克苏,宝鸡,1,6,7
阿克苏,拉萨,1,5,6
喀什,大连,1,3,4
喀什,徐州,1,10,11
喀什,扬州,1,1,2
喀什,烟台,1,2,3
喀什,荆州,1,2,3
喀什,郑州,1,16,17
喀什,漯河,1,8,9
喀什,深圳,1,9,10
喀什,湛江,1,1,2
喀什,柳州,1,3,4
喀什,阿克苏,1,16,17
拉萨,廊坊,1,2,3
拉萨,北京,1,32,33
拉萨,无锡,1,2,3
拉萨,蚌埠,1,3,4
拉萨,宁波,1,3,4
