收寄城市,寄达城市,流量_集包,流量_大件,总流量
阿克苏,银川,1,11,12
喀什,包头,1,1,2
喀什,唐山,1,1,2
喀什,长春,1,10,11
喀什,苏州,1,5,6
喀什,蚌埠,1,5,6
喀什,济南,1,14,15
喀什,湖州,1,1,2
喀什,金华,1,2,3
喀什,信阳,1,6,7
喀什,西安,1,33,34
喀什,拉萨,1,2,3
拉萨,保定,1,3,4
拉萨,长春,1,11,12
拉萨,扬州,1,2,3
拉萨,芜湖,1,2,3
拉萨,台州,1,3,4
拉萨,义乌,1,2,3
拉萨,赣州,1,1,2
拉萨,泉州,1,4,5
拉萨,东莞,1,7,8
拉萨,中山,1,6,7
拉萨,兰州,1,37,38
保定,北京,223,1986,2209
无锡,苏州,220,1737,1957
常州,徐州,167,1617,1784
苏州,淮安,38,242,280
徐州,连云港,52,838,890
南通,徐州,79,1734,1813
杭州,湖州,201,438,639
湖州,杭州,160,418,578
嘉兴,杭州,319,989,1308
嘉兴,台州,82,237,319
宁波,嘉兴,98,742,840
宁波,宁波,32,225,257
宁波,台州,99,778,877
金华,温州,420,3000,3420
汕头,汕头,45,367,412
成都,南充,165,4567,4732
石家庄,沈阳,297,3517,3814
石家庄,徐州,103,1178,1281
石家庄,成都,300,3555,3855
石家庄,宁波,81,978,1059
天津,郑州,47,1708,1755
廊坊,广州,73,639,712
廊坊,常州,12,103,115
廊坊,洛阳,15,138,153
廊坊,信阳,21,170,191
廊坊,贵阳,47,404,451
保定,乌鲁木齐,99,832,931
保定,呼和浩特,34,268,302
沈阳,呼和浩特,106,863,969
长春,哈尔滨,103,2929,3032
长春,济南,39,1015,1054
哈尔滨,沈阳,99,3228,3327
南京,福州,150,1805,1955
南京,武汉,244,3002,3246
南京,漯河,78,824,902
南京,湛江,44,476,520
南京,海口,91,1147,1238
扬州,徐州,53,518,571
无锡,信阳,43,319,362
无锡,沈阳,166,1253,1419
无锡,安庆,32,229,261
常州,汕头,101,981,1082
常州,中山,108,1052,1160
苏州,沈阳,167,1251,1418
苏州,福州,122,974,1096
苏州,长沙,167,1346,1513
苏州,襄阳,34,253,287
苏州,洛阳,50,370,420
苏州,中山,79,608,687
苏州,贵阳,142,1080,1222
徐州,青岛,140,2619,2759
徐州,南昌,177,3331,3508
徐州,长沙,256,4757,5013
徐州,南充,89,1394,1483
连云港,石家庄,70,489,559
连云港,天津,74,524,598
连云港,宁波,31,226,257
连云港,厦门,34,228,262
连云港,信阳,38,251,289
淮安,兰州,23,229,252
淮安,福州,23,233,256
淮安,武汉,41,428,469
徐州,大理州,38,632,670
盐城,广州,148,841,989
盐城,福州,46,248,294
扬州,太原,35,353,388
扬州,南昌,46,493,539
常州,侯马,79,761,840
常州,武汉,253,2567,2820
常州,贵阳,157,1503,1660
常州,呼和浩特,77,713,790
常州,洛阳,93,936,1029
南通,天津,52,1162,1214
南通,中山,52,1141,1193
南通,昆明,49,1073,1122
合肥,厦门,147,1562,1709
合肥,漯河,132,1374,1506
合肥,信阳,151,1559,1710
合肥,柳州,91,904,995
安庆,沈阳,168,1707,1875
安庆,石家庄,121,1179,1300
安庆,杭州,126,1376,1502
安庆,郑州,160,1593,1753
安庆,广州,322,3514,3836
安庆,湛江,56,548,604
安庆,贵阳,179,1646,1825
安庆,西安,196,1938,2134
蚌埠,合肥,135,1373,1508
蚌埠,成都,234,2503,2737
蚌埠,宁波,74,764,838
芜湖,芜湖,22,231,253
济南,信阳,122,1253,1375
济南,广州,366,4472,4838
济南,成都,307,3709,4016
济南,呼和浩特,223,2287,2510
潍坊,济南,70,1054,1124
潍坊,漯河,16,201,217
临沂,北京,72,910,982
济宁,西安,48,1012,1060
杭州,北京,651,1533,2184
杭州,济南,813,1869,2682
杭州,郑州,723,1672,2395
杭州,汕头,233,544,777
杭州,湛江,157,364,521
杭州,海口,210,509,719
杭州,成都,700,1616,2316
杭州,南充,161,353,514
杭州,西宁,50,117,167
湖州,南京,90,241,331
湖州,南宁,252,690,942
嘉兴,北京,121,383,504
嘉兴,合肥,106,323,429
嘉兴,福州,127,379,506
嘉兴,襄阳,37,105,142
嘉兴,锦州,26,75,101
嘉兴,银川,44,126,170
宁波,哈尔滨,181,1458,1639
宁波,合肥,137,1136,1273
宁波,芜湖,52,387,439
宁波,厦门,128,1016,1144
宁波,贵阳,191,1547,1738
宁波,乌鲁木齐,66,550,616
台州,太原,195,685,880
台州,安庆,82,287,369
台州,青岛,220,803,1023
台州,衡阳,115,417,532
台州,襄阳,70,235,305
台州,郑州,379,1374,1753
台州,广州,771,2834,3605
台州,湛江,112,403,515
台州,柳州,95,326,421
台州,贵阳,336,1195,1531
台州,乌鲁木齐,86,313,399
金华,安庆,152,1130,1282
金华,贵阳,463,3409,3872
温州,石家庄,187,774,961
温州,沈阳,216,831,1047
温州,厦门,176,744,920
温州,昆明,179,716,895
南昌,湛江,65,721,786
南昌,乌鲁木齐,125,843,968
南昌,哈尔滨,169,1575,1744
福州,厦门,112,1595,1707
福州,杭州,90,1338,1428
福州,信阳,46,466,512
泉州,中山,91,2833,2924
泉州,合肥,37,1155,1192
泉州,郑州,56,1749,1805
泉州,贵阳,61,1754,1815
泉州,昆明,39,1259,1298
厦门,广州,173,5749,5922
重庆,宁波,25,961,986
重庆,洛阳,18,596,614
重庆,南充,40,1364,1404
长沙,南京,122,1750,1872
长沙,南宁,244,4435,4679
常德,南京,14,227,241
常德,常州,9,124,133
衡阳,汕头,28,662,690
武汉,哈尔滨,172,3407,3579
武汉,福州,175,3789,3964
武汉,南充,79,1601,1680
荆州,广州,83,814,897
荆州,杭州,29,263,292
武汉,兰州,110,2115,2225
襄阳,南京,20,377,397
襄阳,杭州,26,546,572
武汉,太原,140,3152,3292
郑州,贵阳,242,4216,4458
洛阳,杭州,77,894,971
洛阳,南昌,82,925,1007
漯河,西安,65,1671,1736
郑州,徐州,131,2176,2307
郑州,湛江,86,1398,1484
广州,中山,316,3510,3826
汕头,洛阳,21,123,144
汕头,南宁,89,777,866
湛江,石家庄,13,302,315
湛江,济南,19,473,492
湛江,厦门,13,286,299
湛江,信阳,11,219,230
湛江,郑州,16,381,397
湛江,南宁,25,645,670
广州,哈尔滨,170,1805,1975
中山,西安,80,939,1019
成都,天津,60,1358,1418
石家庄,临沂,68,801,869
石家庄,盐城,41,459,500
石家庄,西宁,12,134,146
天津,上海,45,1712,1757
天津,潍坊,19,730,749
天津,烟台,18,734,752
天津,南昌,20,691,711
天津,汕头,13,382,395
天津,柳州,10,286,296
天津,南充,10,324,334
天津,昆明,19,677,696
唐山,大连,5,55,60
唐山,青岛,8,103,111
唐山,福州,6,76,82
唐山,泉州,4,37,41
唐山,汕头,4,43,47
唐山,东莞,5,56,61
唐山,南宁,5,48,53
唐山,西安,16,213,229
唐山,银川,5,52,57
北京,哈尔滨,74,1629,1703
北京,南京,35,728,763
北京,台州,13,239,252
北京,广州,70,1606,1676
廊坊,保定,21,206,227
廊坊,苏州,19,183,202
廊坊,盐城,8,61,69
廊坊,扬州,5,46,51
廊坊,温州,9,87,96
保定,大连,22,176,198
保定,嘉兴,16,124,140
北京,兰州,31,660,691
沈阳,上海,125,972,1097
沈阳,包头,31,250,281
沈阳,廊坊,37,290,327
沈阳,常州,39,283,322
沈阳,扬州,19,123,142
沈阳,厦门,32,242,274
沈阳,宝鸡,8,56,64
长春,呼和浩特,26,644,670
长春,徐州,12,277,289
长春,烟台,9,245,254
长春,济宁,9,196,205
长春,临沂,10,253,263
长春,杭州,17,426,443
长春,南昌,11,252,263
长春,赣州,4,69,73
长春,厦门,8,193,201
长春,长沙,18,397,415
长春,深圳,18,431,449
长春,湛江,6,92,98
长春,柳州,6,111,117
长春,海口,10,233,243
长春,银川,12,267,279
哈尔滨,蚌埠,10,253,263
哈尔滨,济南,50,1566,1616
哈尔滨,西安,30,986,1016
南京,乌鲁木齐,88,1058,1146
扬州,嘉兴,21,223,244
扬州,宁波,39,434,473
扬州,深圳,43,489,532
南京,义乌,27,316,343
淮安,南宁,22,208,230
常州,嘉兴,60,593,653
常州,深圳,142,1484,1626
无锡,上海,258,2107,2365
无锡,湖州,21,160,181
无锡,东莞,52,416,468
无锡,义乌,15,115,130
无锡,鹰潭,11,78,89
无锡,宝鸡,9,67,76
无锡,西宁,7,50,57
苏州,上海,507,4395,4902
苏州,宝鸡,14,102,116
徐州,上海,303,6079,6382
徐州,泉州,81,1557,1638
连云港,重庆,44,333,377
淮安,连云港,18,175,193
淮安,盐城,26,268,294
淮安,湛江,10,87,97
淮安,锦州,7,53,60
淮安,安庆,12,119,131
淮安,赣州,8,74,82
盐城,保定,19,96,115
盐城,淮安,17,84,101
盐城,扬州,27,144,171
盐城,临沂,22,120,142
盐城,赣州,13,63,76
盐城,衡阳,19,97,116
扬州,西宁,6,67,73
常州,鹰潭,28,277,305
南通,赣州,16,344,360
南通,泉州,30,674,704
南通,衡阳,26,566,592
南通,深圳,77,1811,1888
合肥,包头,41,443,484
合肥,鹰潭,37,382,419
合肥,赣州,62,661,723
合肥,泉州,101,1120,1221
合肥,重庆,204,2249,2453
合肥,荆州,30,303,333
合肥,兰州,138,1480,1618
安庆,包头,16,159,175
安庆,无锡,56,582,638
安庆,连云港,26,263,289
安庆,盐城,36,408,444
安庆,南通,40,441,481
安庆,台州,41,446,487
安庆,义乌,22,197,219
安庆,重庆,105,1069,1174
安庆,海口,30,298,328
蚌埠,芜湖,47,451,498
蚌埠,金华,53,532,585
蚌埠,鹰潭,26,235,261
蚌埠,昆明,66,719,785
蚌埠,宝鸡,20,201,221
芜湖,福州,55,664,719
芜湖,武汉,98,1252,1350
芜湖,东莞,49,621,670
芜湖,中山,45,527,572
芜湖,昆明,31,390,421
芜湖,济宁,17,209,226
芜湖,常德,17,193,210
安庆,阿克苏,5,45,50
济南,潍坊,137,1468,1605
济南,厦门,96,1012,1108
济南,深圳,149,1779,1928
济南,贵阳,215,2408,2623
济南,衡阳,55,630,685
潍坊,沈阳,40,633,673
潍坊,海口,13,179,192
潍坊,唐山,9,141,150
潍坊,大连,12,162,174
潍坊,徐州,15,212,227
潍坊,嘉兴,8,109,117
潍坊,温州,11,160,171
潍坊,安庆,6,84,90
潍坊,济宁,11,173,184
青岛,太原,29,412,441
青岛,沈阳,51,770,821
青岛,东莞,20,249,269
青岛,厦门,16,212,228
济宁,长春,29,590,619
济宁,南京,16,323,339
济宁,重庆,22,442,464
济宁,贵阳,30,662,692
临沂,南京,19,225,244
临沂,南通,9,97,106
临沂,重庆,27,325,352
临沂,西安,56,688,744
济南,芜湖,48,505,553
临沂,盐城,7,73,80
临沂,蚌埠,14,146,160
济宁,海口,6,127,133
杭州,廊坊,86,193,279
杭州,保定,147,347,494
杭州,临沂,162,378,540
杭州,泉州,197,467,664
杭州,东莞,317,771,1088
湖州,芜湖,40,105,145
湖州,安庆,38,100,138
湖州,南充,80,213,293
湖州,乌鲁木齐,51,136,187
嘉兴,苏州,142,465,607
嘉兴,临沂,50,154,204
嘉兴,鹰潭,22,65,87
嘉兴,常德,33,102,135
嘉兴,内江,9,23,32
宁波,廊坊,33,255,288
宁波,扬州,34,268,302
宁波,阿克苏,16,109,125
台州,大连,61,221,282
台州,济宁,88,321,409
台州,泉州,153,565,718
金华,无锡,248,1929,2177
金华,南通,190,1475,1665
金华,烟台,150,1168,1318
金华,宝鸡,46,341,387
温州,连云港,44,175,219
温州,烟台,61,256,317
温州,义乌,49,206,255
温州,赣州,59,242,301
南昌,海口,96,967,1063
南昌,潍坊,53,572,625
南昌,济宁,48,510,558
南昌,临沂,51,546,597
南昌,大理州,41,421,462
南昌,廊坊,26,309,335
南昌,拉萨,20,138,158
鹰潭,保定,10,79,89
鹰潭,哈尔滨,24,243,267
鹰潭,上海,41,397,438
鹰潭,蚌埠,11,98,109
鹰潭,洛阳,11,89,100
鹰潭,成都,37,388,425
鹰潭,宁波,12,106,118
福州,南京,59,856,915
福州,长沙,127,1838,1965
福州,东莞,78,1004,1082
福州,唐山,21,244,265
福州,芜湖,27,319,346
厦门,宁波,30,1006,1036
厦门,福州,103,3242,3345
厦门,长沙,52,1733,1785
厦门,西安,40,1343,1383
泉州,蚌埠,22,637,659
泉州,鹰潭,11,286,297
泉州,衡阳,23,684,707
泉州,深圳,110,3792,3902
泉州,芜湖,13,379,392
泉州,荆州,6,172,178
厦门,徐州,27,810,837
厦门,南通,15,416,431
重庆,温州,23,864,887
重庆,乌鲁木齐,20,745,765
重庆,保定,11,415,426
重庆,无锡,17,646,663
重庆,连云港,7,230,237
重庆,义乌,7,221,228
长沙,上海,257,3898,4155
长沙,连云港,30,445,475
长沙,安庆,48,734,782
常德,衡阳,12,215,227
常德,贵阳,16,296,312
常德,成都,22,433,455
衡阳,福州,30,841,871
衡阳,南宁,39,1098,1137
衡阳,蚌埠,12,314,326
衡阳,漯河,15,391,406
衡阳,常州,12,310,322
衡阳,南充,16,373,389
武汉,唐山,46,946,992
武汉,上海,310,7239,7549
武汉,温州,83,1699,1782
武汉,常德,63,1246,1309
武汉,衡阳,97,1955,2052
荆州,石家庄,20,179,199
荆州,福州,25,209,234
荆州,重庆,21,203,224
荆州,徐州,12,109,121
荆州,南通,7,64,71
荆州,柳州,10,89,99
襄阳,长春,25,586,611
襄阳,哈尔滨,39,894,933
襄阳,无锡,11,220,231
襄阳,扬州,6,111,117
襄阳,嘉兴,10,197,207
襄阳,台州,7,123,130
襄阳,温州,11,209,220
郑州,连云港,34,578,612
郑州,烟台,70,1220,1290
郑州,嘉兴,64,1106,1170
郑州,常德,61,1063,1124
郑州,海口,60,1094,1154
洛阳,苏州,69,775,844
洛阳,盐城,25,233,258
洛阳,安庆,22,239,261
洛阳,常德,27,280,307
洛阳,深圳,82,958,1040
漯河,昆明,41,998,1039
漯河,兰州,23,570,593
漯河,呼和浩特,29,722,751
漯河,徐州,22,532,554
漯河,西宁,5,100,105
漯河,南京,22,597,619
漯河,常州,16,356,372
漯河,潍坊,15,367,382
信阳,哈尔滨,65,878,943
信阳,郑州,67,924,991
信阳,蚌埠,19,245,264
信阳,南昌,37,461,498
郑州,淮安,21,382,403
郑州,阿克苏,17,272,289
广州,合肥,112,1101,1213
广州,临沂,49,471,520
广州,重庆,177,1796,1973
广州,漯河,78,744,822
广州,潍坊,46,440,486
汕头,唐山,15,111,126
汕头,宁波,18,144,162
汕头,温州,21,145,166
汕头,喀什,5,28,33
湛江,长春,12,272,284
湛江,苏州,11,274,285
湛江,杭州,16,393,409
湛江,金华,8,174,182
湛江,福州,19,459,478
湛江,银川,7,127,134
中山,柳州,36,459,495
中山,无锡,20,278,298
中山,兰州,35,415,450
贵阳,哈尔滨,11,263,274
贵阳,合肥,10,193,203
贵阳,天津,9,226,235
贵阳,长沙,23,557,580
贵阳,深圳,18,423,441
贵阳,南宁,14,408,422
贵阳,柳州,7,160,167
贵阳,海口,8,249,257
海口,长春,6,79,85
海口,天津,6,80,86
海口,长沙,8,114,122
海口,南宁,6,84,90
成都,重庆,149,4822,4971
成都,武汉,94,2433,2527
成都,西安,113,2925,3038
成都,兰州,60,1515,1575
成都,上海,129,3640,3769
成都,蚌埠,24,571,595
成都,中山,46,1081,1127
成都,廊坊,11,256,267
成都,泉州,25,598,623
成都,常德,16,410,426
成都,衡阳,27,639,666
昆明,重庆,38,824,862
昆明,长沙,40,856,896
昆明,东莞,24,542,566
昆明,兰州,15,298,313
昆明,潍坊,7,145,152
西安,杭州,91,3827,3918
西安,厦门,58,2458,2516
西安,泉州,42,1685,1727
西安,衡阳,37,1361,1398
西安,呼和浩特,48,1833,1881
西安,常州,31,1215,1246
西安,青岛,37,1487,1524
锦州,哈尔滨,12,316,328
锦州,长春,9,218,227
厦门,襄阳,11,311,322
南宁,南宁,61,5574,5635
南宁,昆明,27,1743,1770
柳州,南宁,40,1988,2028
南充,福州,13,177,190
南充,大理州,7,121,128
呼和浩特,郑州,10,305,315
呼和浩特,广州,14,442,456
呼和浩特,东莞,4,100,104
锦州,武汉,3,63,66
太原,西安,26,1215,1241
长春,包头,6,168,174
常州,喀什,4,32,36
芜湖,盐城,12,146,158
芜湖,金华,22,281,303
芜湖,义乌,9,96,105
济南,义乌,20,239,259
青岛,廊坊,7,105,112
青岛,湛江,9,122,131
厦门,湖州,10,288,298
厦门,鹰潭,8,234,242
衡阳,南通,8,215,223
常德,济南,13,220,233
常德,福州,10,163,173
常德,郑州,11,172,183
漯河,包头,8,187,195
漯河,盐城,10,223,233
信阳,连云港,7,87,94
信阳,潍坊,15,221,236
信阳,常德,10,148,158
信阳,大理州,7,91,98
信阳,宝鸡,6,79,85
信阳,内江,4,44,48
郑州,拉萨,10,194,204
中山,芜湖,12,137,149
中山,荆州,7,84,91
南宁,杭州,18,1398,1416
南宁,深圳,37,2940,2977
南宁,成都,40,3008,3048
南宁,南充,11,662,673
南宁,常德,7,500,507
柳州,杭州,5,181,186
柳州,宁波,3,86,89
柳州,温州,3,88,91
柳州,厦门,3,112,115
柳州,重庆,5,169,174
柳州,衡阳,3,116,119
柳州,海口,5,152,157
柳州,昆明,7,307,314
贵阳,南通,4,86,90
贵阳,芜湖,4,68,72
贵阳,泉州,7,175,182
贵阳,常德,5,113,118
南充,常德,5,60,65
大理州,哈尔滨,9,321,330
大理州,青岛,3,110,113
大理州,大理州,11,426,437
西安,唐山,13,558,571
西安,义乌,11,422,433
西安,大理州,11,404,415
西安,西宁,17,489,506
乌鲁木齐,兰州,16,693,709
北京,鹰潭,6,118,124
北京,湛江,7,164,171
大连,呼和浩特,7,74,81
大连,厦门,7,69,76
大连,广州,16,188,204
上海,沈阳,161,2375,2536
上海,宁波,84,1295,1379
上海,信阳,50,761,811
上海,广州,288,4438,4726
烟台,太原,14,293,307
烟台,侯马,7,139,146
烟台,北京,29,760,789
烟台,长春,15,368,383
烟台,西安,17,411,428
济宁,襄阳,6,119,125
临沂,阿克苏,5,48,53
湖州,阿克苏,24,64,88
义乌,沈阳,641,5276,5917
义乌,北京,257,2118,2375
义乌,鹰潭,107,874,981
义乌,襄阳,162,1331,1493
义乌,漯河,416,3427,3843
义乌,信阳,443,3658,4101
义乌,中山,431,3560,3991
赣州,锦州,3,170,173
赣州,北京,11,910,921
深圳,北京,124,400,524
深圳,贵阳,167,534,701
东莞,锦州,26,134,160
东莞,沈阳,153,817,970
东莞,侯马,55,288,343
东莞,石家庄,127,685,812
东莞,常州,52,280,332
东莞,襄阳,33,176,209
东莞,信阳,70,376,446
东莞,西安,175,927,1102
南宁,侯马,7,429,436
南充,漯河,5,71,76
兰州,拉萨,55,1033,1088
银川,广州,15,192,207
呼和浩特,扬州,1,24,25
呼和浩特,安庆,2,44,46
呼和浩特,宁波,3,87,90
呼和浩特,义乌,1,31,32
呼和浩特,鹰潭,1,24,25
呼和浩特,襄阳,2,44,46
呼和浩特,湛江,2,41,43
包头,哈尔滨,2,33,35
包头,苏州,1,14,15
包头,青岛,1,13,14
包头,宁波,1,6,7
包头,金华,1,7,8
包头,赣州,1,2,3
包头,衡阳,1,3,4
包头,中山,1,6,7
包头,南宁,1,8,9
包头,贵阳,1,7,8
包头,成都,1,20,21
太原,包头,5,265,270
太原,连云港,1,49,50
太原,芜湖,3,134,137
太原,湛江,3,134,137
太原,西宁,1,34,35
太原,乌鲁木齐,5,237,242
太原,喀什,1,14,15
侯马,长春,3,266,269
侯马,苏州,2,200,202
侯马,徐州,1,103,104
侯马,合肥,2,186,188
侯马,临沂,1,70,71
侯马,台州,1,64,65
侯马,常德,1,51,52
侯马,荆州,1,30,31
侯马,郑州,4,367,371
侯马,柳州,1,53,54
侯马,宝鸡,1,31,32
侯马,阿克苏,1,12,13
唐山,赣州,2,19,21
唐山,深圳,8,97,105
北京,包头,8,192,200
北京,义乌,3,74,77
大连,包头,2,22,24
大连,唐山,3,36,39
大连,保定,3,28,31
大连,上海,10,121,131
大连,湖州,1,11,12
大连,宁波,4,44,48
大连,台州,2,24,26
大连,南昌,4,43,47
大连,荆州,1,6,7
大连,贵阳,5,54,59
大连,喀什,1,1,2
锦州,侯马,2,40,42
锦州,无锡,1,21,22
锦州,淮安,1,6,7
锦州,盐城,1,10,11
锦州,泉州,1,20,21
锦州,长沙,3,48,51
锦州,信阳,1,34,35
锦州,贵阳,2,29,31
锦州,喀什,1,1,2
长春,安庆,3,84,87
长春,西宁,4,131,135
上海,台州,37,576,613
上海,深圳,145,2271,2416
蚌埠,拉萨,4,44,48
芜湖,喀什,2,23,25
潍坊,廊坊,5,88,93
烟台,包头,3,59,62
烟台,济宁,5,131,136
烟台,深圳,11,270,281
烟台,宝鸡,2,33,35
青岛,大理州,2,29,31
青岛,拉萨,3,40,43
济宁,包头,6,144,150
济宁,唐山,7,169,176
济宁,连云港,4,81,85
济宁,荆州,3,61,64
济宁,宝鸡,3,60,63
济宁,阿克苏,2,28,30
湖州,西宁,15,42,57
义乌,包头,38,308,346
义乌,赣州,165,1362,1527
义乌,荆州,76,622,698
义乌,宝鸡,50,409,459
义乌,兰州,195,1607,1802
义乌,阿克苏,10,76,86
鹰潭,台州,5,53,58
鹰潭,义乌,4,36,40
赣州,长春,8,606,614
赣州,蚌埠,3,248,251
赣州,嘉兴,2,169,171
赣州,荆州,1,55,56
赣州,宝鸡,1,56,57
常德,长春,6,105,111
常德,淮安,2,33,35
常德,潍坊,3,42,45
常德,鹰潭,2,38,40
常德,宝鸡,1,12,13
常德,阿克苏,1,8,9
衡阳,盐城,5,159,164
荆州,烟台,5,52,57
荆州,临沂,5,52,57
荆州,内江,2,15,17
荆州,拉萨,1,7,8
襄阳,淮安,2,46,48
广州,宝鸡,15,155,170
深圳,无锡,63,203,266
深圳,荆州,16,49,65
深圳,内江,10,32,42
东莞,大连,38,202,240
东莞,淮安,13,70,83
东莞,盐城,28,150,178
东莞,烟台,37,197,234
东莞,赣州,44,235,279
东莞,深圳,296,1612,1908
东莞,内江,10,53,63
东莞,银川,36,193,229
湛江,连云港,2,52,54
湛江,湖州,3,72,75
柳州,廊坊,1,16,17
柳州,常州,1,50,51
柳州,内江,1,14,15
贵阳,廊坊,2,41,43
贵阳,扬州,2,46,48
贵阳,荆州,1,30,31
贵阳,宝鸡,1,22,23
海口,大连,2,27,29
海口,常州,2,29,31
海口,台州,2,21,23
海口,漯河,2,27,29
海口,阿克苏,1,4,5
海口,喀什,1,1,2
南充,盐城,3,32,35
南充,襄阳,3,35,38
南充,西宁,1,12,13
南充,拉萨,1,21,22
内江,保定,1,29,30
内江,哈尔滨,3,96,99
内江,烟台,1,29,30
内江,天津,2,86,88
内江,宁波,2,60,62
内江,福州,3,105,108
内江,重庆,4,167,171
内江,洛阳,1,38,39
内江,广州,9,380,389
内江,湛江,2,46,48
内江,贵阳,4,150,154
内江,海口,2,70,72
内江,拉萨,1,5,6
昆明,盐城,5,92,97
昆明,阿克苏,2,43,45
大理州,廊坊,1,30,31
大理州,内江,1,21,22
西安,喀什,5,131,136
宝鸡,锦州,1,63,64
宝鸡,徐州,1,151,152
宝鸡,盐城,1,69,70
宝鸡,义乌,1,43,44
宝鸡,南昌,2,337,339
宝鸡,衡阳,1,158,159
宝鸡,襄阳,1,71,72
宝鸡,郑州,2,381,383
宝鸡,内江,1,28,29
兰州,廊坊,1,33,34
兰州,锦州,2,43,45
兰州,淮安,1,9,10
兰州,扬州,1,29,30
兰州,蚌埠,2,46,48
兰州,安庆,1,26,27
兰州,烟台,2,45,47
兰州,南宁,6,169,175
银川,太原,5,68,73
银川,石家庄,4,57,61
银川,上海,8,99,107
银川,芜湖,2,17,19
银川,厦门,3,31,34
银川,泉州,2,27,29
银川,常德,1,13,14
银川,郑州,5,61,66
银川,柳州,2,16,18
银川,内江,1,4,5
西宁,呼和浩特,1,33,34
西宁,徐州,1,26,27
西宁,温州,1,20,21
西宁,荆州,1,5,6
西宁,郑州,2,81,83
乌鲁木齐,上海,6,319,325
乌鲁木齐,徐州,2,92,94
乌鲁木齐,扬州,1,27,28
乌鲁木齐,临沂,1,35,36
乌鲁木齐,鹰潭,1,16,17
乌鲁木齐,衡阳,1,49,50
乌鲁木齐,汕头,2,63,65
乌鲁木齐,南充,3,161,164
乌鲁木齐,昆明,2,122,124
乌鲁木齐,宝鸡,1,33,34
乌鲁木齐,银川,3,115,118
阿克苏,温州,1,13,14
阿克苏,南昌,1,32,33
阿克苏,荆州,1,5,6
阿克苏,郑州,1,41,42
阿克苏,洛阳,1,10,11
阿克苏,西宁,1,6,7
喀什,太原,1,4,5
喀什,上海,1,15,16
喀什,芜湖,1,5,6
喀什,临沂,1,2,3
喀什,温州,1,3,4
喀什,中山,1,3,4
喀什,贵阳,1,7,8
拉萨,锦州,1,1,2
拉萨,苏州,1,6,7
拉萨,连云港,1,3,4
拉萨,天津,1,11,12
拉萨,湖州,1,1,2
拉萨,鹰潭,1,1,2
拉萨,厦门,1,4,5
拉萨,郑州,1,19,20
拉萨,信阳,1,10,11
拉萨,洛阳,1,6,7
拉萨,湛江,1,2,3
拉萨,南宁,1,8,9
拉萨,柳州,1,3,4
拉萨,海口,1,3,4
拉萨,西安,1,51,52
拉萨,阿克苏,1,3,4
南京,苏州,348,4453,4801
无锡,南京,215,1652,1867
苏州,无锡,148,1187,1335
苏州,连云港,52,354,406
苏州,扬州,64,470,534
徐州,南京,204,3651,3855
徐州,苏州,244,4294,4538
淮安,苏州,109,1093,1202
盐城,苏州,125,713,838
常州,无锡,110,1055,1165
常州,连云港,45,384,429
常州,淮安,31,254,285
南通,常州,72,1541,1613
安庆,蚌埠,90,876,966
杭州,嘉兴,348,771,1119
杭州,宁波,658,1449,2107
嘉兴,金华,118,338,456
嘉兴,湖州,55,153,208
宁波,杭州,341,2723,3064
台州,金华,203,667,870
台州,温州,223,772,995
金华,金华,172,1081,1253
温州,杭州,377,1518,1895
长沙,常德,148,2254,2402
广州,汕头,225,2252,2477
成都,成都,649,22384,23033
石家庄,南昌,146,1665,1811
石家庄,武汉,227,2725,2952
石家庄,郑州,266,3207,3473
石家庄,汕头,101,1150,1251
石家庄,中山,120,1398,1518
石家庄,常州,69,768,837
石家庄,长沙,201,2379,2580
石家庄,芜湖,46,506,552
天津,太原,44,1596,1640
