收寄城市,寄达城市,流量_集包,流量_大件,总流量
南京,南昌,144,1608,1752
南京,郑州,197,2268,2465
南京,广州,351,4139,4490
南京,中山,95,1023,1118
扬州,常州,43,440,483
扬州,合肥,49,525,574
扬州,杭州,69,769,838
扬州,信阳,36,357,393
无锡,合肥,97,750,847
无锡,青岛,79,615,694
无锡,广州,167,1284,1451
无锡,太原,74,563,637
无锡,蚌埠,49,357,406
无锡,宁波,75,590,665
无锡,乌鲁木齐,68,510,578
常州,湛江,66,649,715
苏州,金华,79,621,700
苏州,呼和浩特,70,521,591
苏州,哈尔滨,133,997,1130
苏州,侯马,55,404,459
苏州,北京,160,1330,1490
苏州,蚌埠,80,616,696
苏州,武汉,214,1672,1886
苏州,汕头,68,537,605
苏州,湛江,40,300,340
苏州,成都,229,1765,1994
苏州,大理州,27,201,228
徐州,厦门,117,2084,2201
徐州,广州,461,8546,9007
连云港,北京,118,905,1023
连云港,郑州,92,639,731
连云港,中山,34,244,278
连云港,汕头,33,218,251
连云港,湛江,21,146,167
连云港,贵阳,59,361,420
淮安,西安,35,350,385
淮安,广州,57,616,673
淮安,厦门,16,140,156
淮安,芜湖,14,138,152
淮安,宁波,28,291,319
徐州,长春,161,3042,3203
徐州,洛阳,82,1490,1572
盐城,西安,65,374,439
扬州,沈阳,73,746,819
扬州,南宁,50,549,599
扬州,银川,28,279,307
扬州,阿克苏,12,112,124
常州,福州,167,1675,1842
常州,柳州,62,614,676
常州,成都,264,2646,2910
南通,芜湖,25,535,560
南通,杭州,104,2422,2526
南通,南昌,59,1263,1322
南通,襄阳,16,313,329
南通,漯河,35,753,788
南通,海口,51,1146,1197
南通,乌鲁木齐,86,1947,2033
合肥,侯马,116,1209,1325
合肥,长春,212,2197,2409
合肥,青岛,190,2054,2244
合肥,南昌,239,2581,2820
合肥,洛阳,105,1142,1247
合肥,中山,139,1445,1584
合肥,汕头,126,1302,1428
合肥,贵阳,237,2443,2680
合肥,西安,378,4059,4437
安庆,呼和浩特,64,584,648
安庆,南京,102,1092,1194
安庆,徐州,91,952,1043
安庆,武汉,184,1852,2036
安庆,洛阳,52,483,535
安庆,漯河,71,645,716
安庆,南充,62,519,581
安庆,银川,56,485,541
蚌埠,天津,170,1865,2035
蚌埠,青岛,118,1251,1369
蚌埠,锦州,43,406,449
蚌埠,湛江,56,536,592
蚌埠,南宁,158,1671,1829
蚌埠,贵阳,180,1763,1943
蚌埠,南昌,139,1449,1588
蚌埠,哈尔滨,176,1970,2146
蚌埠,太原,145,1534,1679
芜湖,呼和浩特,45,541,586
济南,石家庄,250,2867,3117
济南,漯河,118,1197,1315
济南,中山,106,1170,1276
济南,哈尔滨,280,3267,3547
潍坊,青岛,39,596,635
济宁,济南,64,1371,1435
临沂,漯河,21,230,251
临沂,石家庄,39,428,467
天津,呼和浩特,31,1253,1284
杭州,蚌埠,253,573,826
杭州,南昌,463,1045,1508
杭州,厦门,302,705,1007
杭州,中山,308,712,1020
杭州,乌鲁木齐,255,603,858
杭州,大理州,97,226,323
湖州,侯马,94,250,344
湖州,天津,140,377,517
湖州,长春,151,409,560
湖州,郑州,263,712,975
湖州,广州,440,1194,1634
湖州,汕头,123,336,459
嘉兴,青岛,113,346,459
嘉兴,西安,168,501,669
嘉兴,蚌埠,60,182,242
嘉兴,安庆,34,101,135
宁波,蚌埠,87,679,766
宁波,郑州,257,2097,2354
宁波,洛阳,84,659,743
宁波,信阳,116,913,1029
宁波,广州,465,3854,4319
台州,常州,145,512,657
台州,漯河,160,568,728
台州,南充,100,349,449
台州,阿克苏,37,126,163
金华,哈尔滨,507,3791,4298
金华,锦州,103,743,846
金华,常州,276,2111,2387
金华,蚌埠,291,2197,2488
金华,芜湖,172,1278,1450
金华,青岛,395,3054,3449
金华,郑州,717,5441,6158
金华,南充,183,1320,1503
温州,徐州,138,567,705
温州,湛江,79,314,393
温州,襄阳,51,200,251
温州,大理州,45,167,212
南昌,汕头,110,1244,1354
南昌,贵阳,187,2122,2309
南昌,青岛,114,1327,1441
鹰潭,合肥,20,155,175
鹰潭,漯河,14,121,135
泉州,汕头,81,2527,2608
泉州,湛江,52,1590,1642
泉州,沈阳,49,1536,1585
泉州,金华,23,661,684
泉州,柳州,22,605,627
泉州,兰州,33,1082,1115
重庆,天津,42,1545,1587
重庆,杭州,45,1717,1762
重庆,厦门,30,1053,1083
重庆,信阳,23,810,833
重庆,成都,137,5250,5387
长沙,南昌,261,3955,4216
长沙,海口,157,2738,2895
长沙,大理州,54,829,883
武汉,天津,156,3403,3559
武汉,侯马,76,1607,1683
武汉,合肥,133,2827,2960
武汉,青岛,124,2539,2663
武汉,信阳,108,2110,2218
武汉,湛江,66,1277,1343
襄阳,汕头,14,236,250
郑州,侯马,140,2422,2562
郑州,石家庄,271,4878,5149
郑州,福州,172,3098,3270
郑州,南宁,234,4075,4309
郑州,柳州,104,1662,1766
洛阳,郑州,160,1476,1636
洛阳,成都,183,1927,2110
洛阳,呼和浩特,59,480,539
洛阳,长春,100,1073,1173
洛阳,洛阳,38,342,380
洛阳,中山,67,718,785
洛阳,南充,50,482,532
郑州,蚌埠,110,1873,1983
郑州,安庆,54,966,1020
郑州,鹰潭,36,632,668
郑州,衡阳,99,1761,1860
广州,信阳,88,831,919
广州,济南,221,2234,2455
广州,呼和浩特,101,1015,1116
广州,南昌,213,2136,2349
汕头,太原,39,290,329
汕头,哈尔滨,47,373,420
广州,武汉,301,3139,3440
湛江,西安,25,570,595
湛江,中山,24,586,610
中山,锦州,15,143,158
中山,沈阳,59,728,787
中山,厦门,47,639,686
成都,贵阳,111,2725,2836
成都,郑州,76,1787,1863
石家庄,深圳,141,1806,1947
石家庄,淮安,19,219,238
石家庄,拉萨,18,219,237
天津,侯马,25,784,809
天津,南京,24,808,832
天津,无锡,14,425,439
天津,重庆,22,767,789
天津,洛阳,19,577,596
天津,南宁,21,696,717
唐山,太原,12,162,174
唐山,常州,4,40,44
唐山,南通,4,31,35
唐山,合肥,6,70,76
唐山,蚌埠,4,44,48
唐山,潍坊,4,43,47
唐山,温州,4,41,45
唐山,昆明,5,61,66
北京,石家庄,64,1453,1517
北京,青岛,39,914,953
北京,嘉兴,11,229,240
北京,金华,16,308,324
廊坊,芜湖,9,77,86
廊坊,安庆,9,78,87
廊坊,重庆,26,253,279
廊坊,淮安,4,31,35
廊坊,大理州,7,57,64
廊坊,兰州,21,207,228
廊坊,乌鲁木齐,37,347,384
保定,喀什,9,72,81
保定,内江,6,45,51
北京,合肥,28,636,664
北京,安庆,12,213,225
北京,柳州,16,363,379
北京,南充,21,414,435
北京,济宁,13,290,303
北京,泉州,16,377,393
沈阳,成都,92,732,824
沈阳,无锡,37,267,304
沈阳,嘉兴,25,201,226
沈阳,湛江,16,110,126
沈阳,柳州,18,135,153
长春,保定,12,331,343
长春,长春,155,4451,4606
长春,南京,13,308,321
长春,无锡,7,190,197
长春,苏州,16,396,412
长春,青岛,24,687,711
长春,温州,8,202,210
长春,衡阳,5,99,104
长春,东莞,12,249,261
长春,大理州,6,85,91
哈尔滨,大连,32,1014,1046
哈尔滨,无锡,11,284,295
哈尔滨,潍坊,13,392,405
哈尔滨,温州,12,306,318
哈尔滨,福州,17,501,518
哈尔滨,重庆,19,525,544
哈尔滨,洛阳,11,258,269
哈尔滨,汕头,13,339,352
哈尔滨,深圳,27,873,900
南京,潍坊,52,610,662
南京,重庆,125,1578,1703
南京,荆州,21,239,260
南京,拉萨,14,181,195
扬州,连云港,16,152,168
扬州,芜湖,18,182,200
扬州,安庆,16,168,184
扬州,重庆,36,415,451
扬州,长沙,61,670,731
扬州,衡阳,20,214,234
淮安,贵阳,19,179,198
常州,唐山,49,494,543
常州,潍坊,64,653,717
无锡,保定,26,200,226
无锡,临沂,34,258,292
无锡,重庆,66,526,592
无锡,衡阳,24,188,212
常州,湖州,30,304,334
苏州,嘉兴,68,563,631
苏州,温州,90,771,861
苏州,包头,19,146,165
苏州,潍坊,42,331,373
徐州,济宁,65,1216,1281
徐州,临沂,64,1211,1275
徐州,乌鲁木齐,37,725,762
徐州,义乌,23,404,427
徐州,阿克苏,8,135,143
连云港,唐山,20,145,165
连云港,上海,128,1003,1131
淮安,呼和浩特,17,176,193
淮安,潍坊,7,61,68
淮安,台州,13,135,148
淮安,大理州,4,35,39
淮安,大连,5,50,55
淮安,烟台,7,61,68
徐州,西宁,10,166,176
盐城,呼和浩特,24,122,146
盐城,温州,36,205,241
盐城,常德,13,63,76
盐城,兰州,29,167,196
盐城,银川,19,100,119
盐城,东莞,40,240,280
盐城,乌鲁木齐,44,247,291
扬州,大连,16,176,192
扬州,荆州,6,66,72
常州,包头,21,202,223
南通,廊坊,9,188,197
南通,潍坊,22,478,500
南通,湖州,16,351,367
南通,温州,47,1051,1098
南通,东莞,50,1147,1197
南通,宝鸡,5,98,103
南通,西宁,13,289,302
南通,喀什,5,112,117
合肥,长沙,288,3198,3486
合肥,襄阳,61,651,712
合肥,昆明,137,1500,1637
安庆,保定,41,404,445
安庆,安庆,32,332,364
安庆,赣州,35,338,373
安庆,东莞,85,942,1027
蚌埠,南通,39,385,424
蚌埠,淮安,18,173,191
蚌埠,大理州,18,179,197
芜湖,太原,58,700,758
芜湖,侯马,31,346,377
芜湖,北京,61,755,816
芜湖,宁波,31,374,405
芜湖,郑州,77,913,990
芜湖,烟台,18,227,245
芜湖,洛阳,24,283,307
芜湖,湛江,22,254,276
芜湖,海口,24,302,326
芜湖,乌鲁木齐,41,538,579
济南,福州,142,1530,1672
济南,武汉,246,2870,3116
济南,洛阳,91,971,1062
济南,东莞,109,1256,1365
济南,荆州,22,230,252
潍坊,蚌埠,10,141,151
潍坊,汕头,14,170,184
青岛,潍坊,22,328,350
青岛,长沙,38,504,542
青岛,成都,48,695,743
青岛,合肥,25,336,361
青岛,南昌,23,320,343
青岛,重庆,25,352,377
青岛,侯马,18,231,249
济宁,呼和浩特,26,504,530
济宁,徐州,16,315,331
济宁,福州,21,391,412
济宁,长沙,32,648,680
济宁,成都,40,870,910
济宁,漯河,15,279,294
临沂,苏州,23,280,303
临沂,嘉兴,10,118,128
济宁,蚌埠,12,222,234
济宁,洛阳,12,218,230
临沂,台州,7,85,92
临沂,乌鲁木齐,15,177,192
天津,包头,9,371,380
杭州,大连,115,270,385
湖州,济宁,54,143,197
嘉兴,南通,53,166,219
嘉兴,潍坊,52,165,217
嘉兴,济宁,48,145,193
嘉兴,荆州,18,51,69
嘉兴,义乌,37,114,151
宁波,大连,48,391,439
宁波,淮安,22,171,193
宁波,盐城,45,356,401
宁波,重庆,140,1203,1343
台州,唐山,62,222,284
台州,廊坊,45,157,202
台州,上海,495,1864,2359
台州,淮安,41,146,187
台州,南通,99,361,460
台州,烟台,80,290,370
台州,义乌,67,241,308
台州,赣州,83,300,383
台州,西宁,25,87,112
金华,保定,164,1266,1430
金华,潍坊,191,1483,1674
金华,义乌,119,876,995
温州,荆州,26,97,123
温州,宝鸡,19,69,88
温州,西宁,18,70,88
南昌,蚌埠,69,866,935
南昌,泉州,69,957,1026
南昌,衡阳,70,843,913
南昌,银川,70,574,644
南昌,烟台,42,502,544
南昌,台州,49,619,668
南昌,鹰潭,32,376,408
鹰潭,临沂,8,70,78
鹰潭,厦门,15,136,151
鹰潭,银川,10,89,99
鹰潭,海口,12,113,125
鹰潭,温州,10,91,101
鹰潭,柳州,10,89,99
福州,深圳,106,1549,1655
福州,西安,105,1326,1431
福州,长春,67,775,842
福州,保定,29,319,348
福州,廊坊,16,162,178
福州,银川,22,316,338
厦门,上海,98,3325,3423
厦门,武汉,63,2011,2074
厦门,兰州,18,581,599
泉州,无锡,19,566,585
泉州,苏州,37,1205,1242
泉州,长沙,71,2334,2405
泉州,常德,17,454,471
泉州,襄阳,15,392,407
泉州,唐山,12,343,355
厦门,衡阳,18,543,561
厦门,盐城,12,325,337
厦门,临沂,11,295,306
重庆,包头,18,707,725
重庆,大连,15,575,590
重庆,海口,41,1587,1628
重庆,西宁,4,122,126
长沙,唐山,44,694,738
长沙,盐城,37,563,600
长沙,鹰潭,39,610,649
常德,哈尔滨,9,145,154
常德,苏州,17,305,322
常德,盐城,4,80,84
常德,嘉兴,7,122,129
常德,台州,5,101,106
常德,金华,8,128,136
常德,温州,10,171,181
常德,南充,6,110,116
常德,西安,12,209,221
衡阳,济南,39,1102,1141
衡阳,武汉,43,1331,1374
衡阳,深圳,44,1323,1367
衡阳,厦门,23,553,576
衡阳,苏州,23,623,646
衡阳,金华,13,331,344
衡阳,泉州,14,418,432
武汉,保定,55,1114,1169
武汉,南通,47,955,1002
武汉,蚌埠,68,1434,1502
武汉,鹰潭,34,632,666
武汉,重庆,186,4206,4392
武汉,深圳,205,4555,4760
武汉,嘉兴,49,1043,1092
武汉,包头,32,624,656
武汉,廊坊,28,594,622
武汉,临沂,43,864,907
荆州,北京,44,457,501
荆州,南宁,25,221,246
荆州,温州,13,134,147
荆州,长春,11,110,121
襄阳,洛阳,11,191,202
襄阳,南宁,18,357,375
襄阳,西安,26,512,538
郑州,上海,308,6344,6652
郑州,重庆,173,3262,3435
郑州,济宁,82,1403,1485
郑州,温州,87,1556,1643
郑州,荆州,26,471,497
洛阳,唐山,34,336,370
洛阳,潍坊,44,401,445
洛阳,临沂,37,360,397
洛阳,连云港,18,163,181
漯河,成都,64,1679,1743
漯河,青岛,30,741,771
漯河,中山,26,526,552
漯河,嘉兴,14,332,346
漯河,无锡,13,331,344
漯河,台州,12,269,281
漯河,泉州,17,397,414
信阳,上海,83,1286,1369
信阳,青岛,33,473,506
信阳,包头,13,146,159
信阳,宁波,24,312,336
信阳,长沙,54,735,789
信阳,襄阳,12,147,159
广州,太原,125,1241,1366
广州,保定,58,528,586
广州,无锡,57,591,648
汕头,上海,38,391,429
汕头,盐城,8,54,62
汕头,芜湖,11,72,83
汕头,济宁,15,96,111
汕头,湖州,6,42,48
广州,南通,41,405,446
湛江,南京,10,223,233
湛江,宁波,10,244,254
湛江,成都,25,690,715
湛江,昆明,17,423,440
湛江,南通,5,98,103
湛江,深圳,27,727,754
中山,福州,70,940,1010
中山,东莞,95,1410,1505
中山,北京,111,1174,1285
中山,深圳,158,2370,2528
中山,大连,14,173,187
中山,常州,23,290,313
中山,合肥,32,397,429
中山,青岛,36,432,468
中山,嘉兴,15,195,210
中山,温州,23,334,357
中山,漯河,26,303,329
中山,信阳,28,331,359
贵阳,太原,6,159,165
贵阳,上海,19,464,483
贵阳,重庆,18,499,517
贵阳,东莞,14,299,313
贵阳,中山,10,234,244
贵阳,昆明,23,595,618
贵阳,兰州,8,169,177
贵阳,银川,4,100,104
海口,汕头,5,73,78
成都,昆明,101,2639,2740
成都,大理州,25,589,614
成都,拉萨,15,675,690
成都,潍坊,22,518,540
成都,南昌,57,1407,1464
成都,无锡,25,604,629
成都,芜湖,15,367,382
成都,济宁,16,376,392
昆明,哈尔滨,37,700,737
昆明,天津,21,429,450
昆明,南宁,25,566,591
昆明,海口,17,318,335
昆明,徐州,9,187,196
昆明,嘉兴,10,238,248
昆明,台州,9,199,208
昆明,金华,14,279,293
昆明,泉州,11,239,250
昆明,湛江,9,187,196
昆明,乌鲁木齐,11,228,239
西安,苏州,65,2766,2831
西安,温州,45,1807,1852
西安,福州,78,3203,3281
西安,重庆,82,3274,3356
西安,潍坊,16,657,673
西安,东莞,78,3166,3244
南充,贵阳,24,493,517
南充,昆明,18,367,385
呼和浩特,保定,5,132,137
呼和浩特,哈尔滨,15,461,476
呼和浩特,杭州,7,185,192
呼和浩特,成都,12,370,382
呼和浩特,福州,5,129,134
呼和浩特,贵阳,4,110,114
锦州,太原,4,101,105
锦州,北京,11,362,373
锦州,青岛,4,92,96
锦州,西安,5,124,129
太原,上海,12,767,779
太原,广州,18,1110,1128
石家庄,喀什,7,76,83
天津,赣州,5,167,172
天津,荆州,3,82,85
沈阳,义乌,27,208,235
沈阳,荆州,6,42,48
长春,南通,5,114,119
长春,襄阳,4,63,67
哈尔滨,柳州,8,180,188
哈尔滨,乌鲁木齐,8,248,256
芜湖,扬州,9,104,113
芜湖,湖州,9,115,124
芜湖,嘉兴,16,210,226
芜湖,宝鸡,7,91,98
济南,湖州,26,302,328
济南,阿克苏,19,212,231
青岛,南通,11,143,154
青岛,义乌,5,60,65
青岛,南充,11,154,165
鹰潭,廊坊,5,41,46
鹰潭,芜湖,6,48,54
鹰潭,嘉兴,7,58,65
鹰潭,襄阳,7,52,59
福州,淮安,9,103,112
福州,义乌,16,179,195
福州,宝鸡,7,89,96
厦门,潍坊,9,283,292
厦门,义乌,7,218,225
厦门,阿克苏,7,221,228
常德,天津,9,133,142
襄阳,呼和浩特,8,150,158
襄阳,襄阳,5,44,49
漯河,湖州,7,164,171
漯河,鹰潭,7,159,166
信阳,南通,11,141,152
信阳,义乌,7,72,79
信阳,西宁,4,35,39
信阳,阿克苏,3,39,42
汕头,义乌,4,32,36
中山,连云港,9,114,123
中山,盐城,11,151,162
中山,济宁,13,159,172
中山,义乌,9,92,101
南宁,石家庄,16,1087,1103
南宁,大连,5,324,329
南宁,长春,10,875,885
南宁,上海,26,2133,2159
南宁,徐州,10,635,645
南宁,合肥,15,1016,1031
南宁,衡阳,13,965,978
南宁,郑州,21,1526,1547
柳州,石家庄,3,90,93
柳州,北京,5,193,198
柳州,青岛,3,79,82
贵阳,台州,6,135,141
贵阳,赣州,4,79,83
南充,苏州,10,127,137
南充,南昌,13,158,171
南充,南宁,16,277,293
南充,温州,6,83,89
大理州,沈阳,12,392,404
大理州,杭州,4,140,144
大理州,南昌,4,111,115
大理州,郑州,4,125,129
大理州,贵阳,5,220,225
西安,保定,14,539,553
西安,南通,21,808,829
西安,芜湖,21,796,817
包头,呼和浩特,34,769,803
烟台,青岛,22,547,569
义乌,湖州,133,1088,1221
义乌,金华,335,2705,3040
东莞,广州,741,3870,4611
东莞,中山,188,996,1184
太原,合肥,7,379,386
太原,信阳,7,286,293
太原,漯河,6,252,258
北京,锦州,11,250,261
北京,襄阳,12,264,276
大连,福州,7,81,88
上海,金华,48,725,773
上海,鹰潭,18,271,289
上海,漯河,47,710,757
上海,中山,69,1048,1117
上海,大理州,19,267,286
烟台,石家庄,15,328,343
烟台,天津,17,424,441
烟台,杭州,14,355,369
烟台,信阳,7,167,174
义乌,哈尔滨,551,4522,5073
义乌,广州,1619,13357,14976
赣州,广州,25,2029,2054
荆州,锦州,6,60,66
深圳,徐州,93,298,391
深圳,武汉,184,586,770
深圳,大理州,33,103,136
东莞,太原,100,536,636
东莞,南京,92,495,587
东莞,徐州,69,365,434
东莞,合肥,90,478,568
东莞,长沙,199,1074,1273
东莞,漯河,64,345,409
东莞,兰州,74,395,469
贵阳,锦州,3,66,69
昆明,锦州,6,110,116
兰州,呼和浩特,6,124,130
兰州,广州,21,638,659
兰州,阿克苏,6,134,140
银川,沈阳,8,94,102
呼和浩特,廊坊,3,68,71
呼和浩特,淮安,1,13,14
呼和浩特,台州,2,46,48
呼和浩特,赣州,2,39,41
呼和浩特,厦门,3,75,78
呼和浩特,常德,1,36,37
呼和浩特,汕头,3,77,80
呼和浩特,海口,3,106,109
呼和浩特,喀什,1,5,6
包头,上海,1,19,20
包头,常州,1,5,6
包头,济南,1,20,21
包头,潍坊,1,8,9
包头,烟台,1,5,6
包头,泉州,1,5,6
包头,郑州,1,18,19
包头,洛阳,1,4,5
包头,内江,1,1,2
包头,喀什,1,0,1
太原,保定,6,321,327
太原,无锡,3,150,153
太原,扬州,2,66,68
太原,湖州,1,70,71
太原,南宁,6,319,325
侯马,南通,1,57,58
侯马,安庆,1,66,67
侯马,贵阳,3,215,218
侯马,兰州,2,170,172
唐山,安庆,2,22,24
唐山,柳州,2,19,21
廊坊,东莞,14,127,141
北京,扬州,7,152,159
北京,临沂,14,334,348
大连,常州,3,29,32
大连,连云港,1,9,10
大连,蚌埠,2,17,19
大连,安庆,1,9,10
大连,嘉兴,2,20,22
大连,金华,3,27,30
大连,常德,1,12,13
大连,湛江,1,12,13
大连,西宁,1,7,8
锦州,南通,1,15,16
锦州,杭州,3,61,64
锦州,嘉兴,1,19,20
锦州,义乌,1,13,14
锦州,温州,1,24,25
锦州,汕头,1,22,23
锦州,中山,1,24,25
锦州,昆明,2,33,35
锦州,乌鲁木齐,1,21,22
长春,扬州,3,71,74
长春,义乌,3,87,90
哈尔滨,连云港,4,131,135
哈尔滨,淮安,2,52,54
上海,唐山,22,331,353
上海,济宁,31,479,510
上海,嘉兴,45,691,736
上海,赣州,28,427,455
上海,拉萨,19,291,310
淮安,内江,1,11,12
盐城,西宁,4,22,26
盐城,拉萨,6,34,40
合肥,喀什,4,36,40
潍坊,拉萨,3,40,43
烟台,苏州,12,310,322
烟台,蚌埠,5,112,117
烟台,金华,5,130,135
烟台,鹰潭,2,33,35
烟台,海口,3,60,63
烟台,银川,4,95,99
烟台,西宁,1,15,16
青岛,内江,2,25,27
济宁,湖州,4,80,84
济宁,常德,6,128,134
济宁,柳州,3,69,72
济宁,乌鲁木齐,5,107,112
济宁,喀什,1,7,8
义乌,呼和浩特,135,1116,1251
鹰潭,盐城,4,35,39
赣州,连云港,2,100,102
赣州,临沂,3,197,200
赣州,泉州,4,289,293
赣州,柳州,3,247,250
赣州,成都,12,994,1006
福州,喀什,2,25,27
厦门,西宁,4,142,146
厦门,喀什,2,45,47
常德,烟台,2,37,39
常德,济宁,2,34,36
常德,义乌,3,43,46
常德,泉州,4,82,86
常德,荆州,2,34,36
常德,拉萨,1,9,10
荆州,保定,6,64,70
荆州,扬州,4,38,42
荆州,安庆,6,61,67
荆州,湖州,4,44,48
荆州,西宁,1,10,11
襄阳,廊坊,4,77,81
襄阳,拉萨,1,17,18
漯河,内江,3,68,71
深圳,义乌,19,61,80
东莞,芜湖,29,156,185
东莞,西宁,14,76,90
湛江,鹰潭,3,72,75
湛江,内江,2,32,34
湛江,西宁,1,19,20
湛江,阿克苏,1,14,15
南宁,扬州,3,216,219
南宁,南通,5,361,366
南宁,烟台,4,316,320
南宁,湖州,3,238,241
南宁,台州,6,439,445
柳州,无锡,1,51,52
柳州,连云港,1,17,18
柳州,淮安,1,11,12
柳州,蚌埠,2,54,56
柳州,湖州,1,34,35
柳州,嘉兴,1,51,52
柳州,台州,1,52,53
柳州,荆州,1,18,19
柳州,洛阳,1,47,48
柳州,兰州,2,60,62
柳州,乌鲁木齐,2,52,54
贵阳,连云港,2,37,39
贵阳,鹰潭,2,40,42
贵阳,阿克苏,1,17,18
海口,包头,1,5,6
海口,连云港,1,8,9
海口,淮安,1,6,7
海口,扬州,1,12,13
海口,潍坊,1,14,15
海口,洛阳,2,21,23
海口,柳州,3,32,35
海口,拉萨,1,5,6
南充,内江,2,48,50
内江,廊坊,1,16,17
内江,北京,4,147,151
内江,淮安,1,13,14
内江,盐城,1,25,26
内江,赣州,1,29,30
内江,襄阳,2,53,55
内江,漯河,2,49,51
内江,柳州,2,52,54
昆明,包头,5,93,98
昆明,义乌,4,87,91
昆明,宝鸡,2,38,40
大理州,扬州,1,29,30
大理州,安庆,1,28,29
大理州,泉州,2,52,54
大理州,常德,1,37,38
大理州,柳州,2,64,66
大理州,海口,2,53,55
大理州,南充,2,86,88
大理州,西宁,1,17,18
西安,拉萨,8,244,252
宝鸡,呼和浩特,2,307,309
宝鸡,沈阳,2,365,367
宝鸡,无锡,1,166,167
宝鸡,苏州,2,447,449
宝鸡,合肥,2,243,245
宝鸡,济南,2,423,425
宝鸡,青岛,1,229,230
宝鸡,宁波,1,224,225
宝鸡,台州,1,92,93
宝鸡,金华,1,120,121
宝鸡,洛阳,1,118,119
宝鸡,南充,1,135,136
兰州,侯马,2,55,57
兰州,无锡,3,73,76
兰州,连云港,1,19,20
兰州,青岛,5,142,147
兰州,天津,7,217,224
兰州,宁波,3,88,91
兰州,台州,2,44,46
兰州,鹰潭,1,18,19
兰州,重庆,5,177,182
兰州,常德,1,29,30
兰州,南充,3,65,68
兰州,宝鸡,1,30,31
兰州,银川,7,170,177
银川,唐山,2,17,19
银川,无锡,2,19,21
银川,淮安,1,4,5
银川,盐城,1,10,11
银川,潍坊,2,17,19
银川,嘉兴,2,23,25
银川,台州,2,21,23
银川,阿克苏,1,10,11
银川,喀什,1,2,3
西宁,保定,1,15,16
西宁,常州,1,19,20
西宁,福州,1,23,24
西宁,厦门,1,14,15
西宁,漯河,1,30,31
西宁,东莞,1,23,24
西宁,南宁,1,26,27
西宁,西安,4,186,190
乌鲁木齐,呼和浩特,2,66,68
乌鲁木齐,唐山,1,31,32
乌鲁木齐,长春,3,133,136
乌鲁木齐,常州,2,68,70
乌鲁木齐,连云港,1,26,27
乌鲁木齐,合肥,2,101,103
乌鲁木齐,芜湖,1,26,27
乌鲁木齐,安庆,1,27,28
乌鲁木齐,福州,2,98,100
乌鲁木齐,荆州,1,18,19
阿克苏,太原,1,17,18
阿克苏,北京,1,57,58
阿克苏,长春,1,21,22
阿克苏,合肥,1,21,22
阿克苏,蚌埠,1,6,7
阿克苏,烟台,1,6,7
阿克苏,台州,1,9,10
阿克苏,义乌,1,6,7
阿克苏,武汉,1,50,51
阿克苏,东莞,1,19,20
阿克苏,乌鲁木齐,1,205,206
喀什,石家庄,1,7,8
喀什,常州,1,3,4
喀什,盐城,1,1,2
喀什,南通,1,3,4
喀什,青岛,1,8,9
喀什,杭州,1,8,9
喀什,重庆,1,16,17
喀什,襄阳,1,3,4
喀什,洛阳,1,5,6
喀什,海口,1,2,3
喀什,南充,1,12,13
喀什,内江,1,1,2
拉萨,太原,1,16,17
拉萨,常州,1,5,6
拉萨,衡阳,1,6,7
拉萨,荆州,1,2,3
拉萨,漯河,1,10,11
拉萨,汕头,1,3,4
拉萨,深圳,1,55,56
拉萨,南充,1,44,45
拉萨,内江,1,8,9
拉萨,西宁,1,23,24
沈阳,沈阳,597,5666,6263
南京,南京,152,1758,1910
无锡,常州,116,873,989
无锡,徐州,115,829,944
无锡,淮安,27,164,191
常州,南京,193,1863,2056
苏州,常州,159,1210,1369
苏州,南通,110,830,940
苏州,盐城,75,538,613
淮安,无锡,49,475,524
徐州,南通,87,1465,1552
